,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
3149,24712X106,DLPX,DLPX,"13, 13, 0, []",13,13,0,1,0
3150,162825103,CKP,CKP,"23, 23, 0, []",23,23,0,1,0
3159,16359R103,CHE,CHE,"27, 27, 0, []",27,27,0,1,0
3172,46625H100,JPM,JPM,"27, 27, 0, []",27,27,0,1,0
3224,166764100,CVX,CVX,"27, 27, 0, []",27,27,0,1,0
3307,171607104,CHYR,CHYR,"20, 20, 0, []",20,20,0,1,0
3341,172529109,CPCI,CPCI,"8, 8, 0, []",8,8,0,1,0
3387,179895107,CLC,CLC,"24, 24, 0, []",24,24,0,1,0
3421,18725U109,CLDA,CLDA,"10, 10, 0, []",10,10,0,1,0
3441,190345108,CRV,CRV,"20, 20, 0, []",20,20,0,1,0
3449,30705R303,FMYR,FMYR,"2, 2, 0, []",2,2,0,1,0
3458,191098102,COKE,COKE,"27, 27, 0, []",27,27,0,1,0
3483,192108504,CDE,CDE,"26, 26, 0, []",26,26,0,1,0
3496,192479103,COHR,COHR,"26, 26, 0, []",26,26,0,1,0
3509,192576106,COHU,COHU,"24, 24, 0, []",24,24,0,1,0
3569,16150R104,CCF,CCF,"25, 25, 0, []",25,25,0,1,0
3586,200080109,CMRO,CMRO,"22, 22, 0, []",22,22,0,1,0
3636,200334100,CDCO,CDCO,"14, 14, 0, []",14,14,0,1,0
3697,200654101,CGCO,CGCO,"16, 16, 0, []",16,16,0,1,0
